,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
403,4x4 2131 Нива,1998,бензин,1.7,79,механика,4WD,зеленый,120000,левый,1 поколение,1.7 MT Стандарт-2131,120000,152001.2257385254
404,4x4 2121 Нива,2015,бензин,1.7,83,механика,4WD,зеленый,78,левый,1 поколение,1.7 MT Стандарт,450000,452214.9821777344
405,4x4 2121 Нива,2018,бензин,1.7,83,механика,4WD,белый,131000,левый,1 поколение,1.7 MT Classic,500000,567746.6465759277
407,2106,1977,бензин,1.6,75,механика,задний,оранжевый,88640,левый,1 поколение,1.6 MT4 2106,395000,50775.839920043945
408,Приора,2011,бензин,1.6,98,механика,передний,серый,195000,левый,1 поколение,1.6 MT Норма 21723-01-011,265000,248575.52960205078
411,2104,2001,бензин,1.5,71,механика,задний,зеленый,73350,левый,1 поколение,1.5 MT4 21043,99000,77038.66354370117
414,Ларгус,2012,бензин,1.6,84,механика,передний,серебристый,190000,левый,1 поколение,1.6 MT Norma 5 мест,490000,493276.5051574707
415,Веста,2017,бензин,1.6,106,механика,передний,бордовый,70000,левый,1 поколение,1.6 MT Luxe + пакет Multimedia,600000,690461.3022460938
416,21099,2002,бензин,1.5,78,механика,передний,голубой,162500,левый,1 поколение,1.5i MT 21099-22 Люкс,82000,74298.98098754883
417,2106,1995,бензин,1.5,72,механика,задний,красный,24312,левый,1 поколение,1.5 MT 21065-01,65000,48951.51983642578
418,2112,2005,бензин,1.6,89,механика,передний,серебристый,399300,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,95000,68520.52153015137
424,Приора,2011,бензин,1.6,98,механика,передний,белый,150000,левый,1 поколение,1.6 MT Норма 21723-01-011,200000,230448.9668121338
425,2106,1991,бензин,1.3,64,механика,задний,бежевый,47498,левый,1 поколение,1.3 MT 21063,90000,91366.47161865234
427,4x4 2121 Нива,2018,бензин,1.7,83,механика,4WD,черный,50000,левый,1 поколение,1.7 MT Black Edition,700000,668147.3989868164
431,Приора,2009,бензин,1.6,98,механика,передний,серебристый,290000,левый,1 поколение,1.6 MT Норма 21723-81-035,310000,309999.97381591797
432,Нива Тревел,2021,бензин,1.7,80,механика,4WD,красный,11000,левый,1 поколение,1.7 MT Luxe / Off-road,1200000,1163304.2194366455
434,Х-рей,2017,бензин,1.8,122,робот,передний,коричневый,103000,левый,1 поколение,1.8 AМТ Luxe + пакет Prestige,850000,830635.9780731201
437,Гранта,2013,бензин,1.6,82,механика,передний,черный,217659,левый,1 поколение,1.6 MT Стандарт,195000,293627.23957824707
439,21099,2002,бензин,1.5,78,механика,передний,зеленый,58000,левый,1 поколение,1.5i MT 21099-22 Люкс,100000,87306.71128845215
441,2109,2001,бензин,1.5,70,механика,передний,серебристый,320000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,52000,55472.363830566406
443,4x4 2121 Нива,2011,бензин,1.7,80,механика,4WD,синий,115000,левый,1 поколение,1.7 MT Стандарт,259000,370241.4510040283
445,2104,1989,бензин,1.3,64,механика,задний,синий,87000,левый,1 поколение,1.3 MT 2104,52000,61994.460845947266
446,2104,2012,бензин,1.6,74,механика,задний,красный,27000,левый,1 поколение,1.6 MT 21041,225000,218717.30145263672
449,Гранта,2021,бензин,1.6,106,механика,передний,серый,24000,левый,"1 поколение, рестайлинг",1.6 MT Luxe + пакет Prestige,750000,856139.8300323486
451,2115 Самара,2010,бензин,1.6,80,механика,передний,серебристый,164648,левый,1 поколение,1.6 MT 21154-20-010,160000,170801.72958374023
453,21099,2002,бензин,1.5,78,механика,передний,серебристый,118000,левый,1 поколение,1.5i MT 21099-22 Люкс,110000,80668.53845214844
