Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,2109,1995,"бензин, 1.5 л","72 л.с., налог",механика,передний,бордовый,200 000,левый,"1 поколение, рестайлинг",0,120000
Лада,2108,1996,"бензин, 1.3 л","64 л.с., налог",механика,передний,черный,78 000,левый,"1 поколение, рестайлинг",1.3 MT 21086,75000
Лада,2106,1993,"бензин, 1.5 л","72 л.с., налог",механика,задний,бордовый,89 000,левый,1 поколение,0,25000
Лада,2105,1997,"бензин, 1.5 л","71 л.с., налог",механика,задний,бордовый,100 000,0,1 поколение,1.5 MT5 21053,45000
Лада,2115 Самара,2003,"бензин, 1.5 л","70 л.с., налог",механика,передний,серебристый,152 282,левый,1 поколение,1.5 MT Базовая,58000
Лада,Приора,2010,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,138 800,левый,1 поколение,0,255000
Лада,2106,2001,"бензин, 1.6 л","75 л.с., налог",механика,задний,зеленый,21 597,левый,1 поколение,0,40000
Лада,2107,2001,"бензин, 1.5 л","71 л.с., налог",механика,задний,голубой,153 700,0,1 поколение,0,35999
Лада,21099,2003,"бензин, 1.5 л","72 л.с., налог",механика,передний,серый,56 000,левый,1 поколение,1.5 MT 21099-00 Стандарт,200000
Лада,2107,2012,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,84 152,0,1 поколение,0,125000
Лада,2101,1981,"бензин, 1.2 л","59 л.с., налог",механика,задний,оранжевый,88 224,левый,1 поколение,1.2 MT 21013,45000
Лада,21099,1999,"бензин, 1.5 л","70 л.с., налог",механика,передний,белый,98 000,левый,1 поколение,1.5 MT 21099-02 Люкс,69000
Лада,2106,1998,"бензин, 1.5 л","72 л.с., налог",механика,задний,белый,420 000,левый,1 поколение,0,47000
Лада,2109,1989,"бензин, 1.5 л","73 л.с., налог",механика,передний,бордовый,32,левый,1 поколение,1.5 MT,150000
Лада,Калина,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,серый,132 700,0,1 поколение,0,240000
Лада,Калина,2015,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,белый,115 000,0,2 поколение,1.6 AT Люкс,550000
Лада,2115 Самара,2006,"бензин, 1.5 л","76 л.с., налог",механика,передний,черный,150 000,левый,1 поколение,1.5i MT Базовая,160000
Лада,2107,2004,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,55 236,0,1 поколение,0,65000
Лада,2105,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,бордовый,83 200,0,1 поколение,1.6 MT 21054-30,59000
Лада,2112,2002,"бензин, 1.5 л","91 л.с., налог",механика,передний,зеленый,22 000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,75000
Лада,2107,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,зеленый,58 431,0,1 поколение,1.6 MT 21074-30-012,130000
Лада,2109,2002,"бензин, 1.5 л","78 л.с., налог",механика,передний,черный,300 000,левый,"1 поколение, рестайлинг",1.5i MT Люкс,70000
Лада,2104,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,белый,12 836,левый,1 поколение,0,75000
Лада,4x4 2121 Нива,1996,"бензин, 1.7 л","79 л.с., налог",механика,4WD,зеленый,130 000,левый,1 поколение,1.7 MT,170000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,черный,120 000,левый,1 поколение,1.5 MT Базовая,105000
Лада,2112,2002,"бензин, 1.5 л","91 л.с., налог",механика,передний,серебристый,450 000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,90000
Лада,2110,2004,"бензин, 1.5 л","91 л.с., налог",механика,передний,серебристый,122 000,0,1 поколение,1.5i MT 21108 Премьер,92000
Лада,2107,2006,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,111 111,0,1 поколение,1.6 MT 21074-40-015,72000
Лада,2102,1982,"бензин, 1.2 л","59 л.с., налог",механика,задний,красный,70 000,левый,1 поколение,1.2 MT 21021-01,42000
Лада,2105,1986,"бензин, 1.3 л","64 л.с., налог",механика,задний,бежевый,1,0,1 поколение,1.3 MT5 21050,49000
Лада,2107,2011,"бензин, 1.6 л","72 л.с., налог",механика,задний,серебристый,81 500,0,1 поколение,0,165000
Лада,2114 Самара,2007,"бензин, 1.5 л","77 л.с., налог",механика,передний,черный,140 000,левый,1 поколение,1.5 MT Базовая,100000
Лада,2115 Самара,2006,"бензин, 1.5 л","76 л.с., налог",механика,передний,черный,209 000,левый,1 поколение,1.5i MT Базовая,110000
Лада,2108,1996,"бензин, 1.5 л","70 л.с., налог",механика,передний,бордовый,200 000,левый,"1 поколение, рестайлинг",1.5 MT 21083-00 Стандарт,60000
Лада,2106,1997,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,33 055,левый,1 поколение,1.6 MT5 2106,55555
Лада,2115 Самара,2006,"бензин, 1.5 л","70 л.с., налог",механика,передний,серебристый,90 000,левый,1 поколение,1.5 MT Базовая,69000
Лада,2107,2004,"бензин, 1.5 л","71 л.с., налог",механика,задний,зеленый,144 000,0,1 поколение,0,36000
Лада,2106,1984,"бензин, 1.3 л","64 л.с., налог",механика,задний,0,23 000,левый,1 поколение,1.3 MT 21063,58499
